stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Ricoh Arena,1997-03-08,7.9,6.0,9.5,nan,nan,52.0,14.1,nan,1035.1,nan
Ricoh Arena,1997-03-22,6.9,-0.2,12.8,nan,nan,196.0,15.4,nan,1022.9,nan
Ricoh Arena,1997-04-09,11.0,1.6,18.9,nan,nan,nan,4.5,nan,1029.0,nan
Ricoh Arena,1997-04-21,5.2,-2.8,12.0,nan,nan,nan,8.6,nan,1018.4,nan
Ricoh Arena,1997-05-03,15.2,6.4,21.5,nan,nan,nan,8.9,nan,1014.8,nan
Ricoh Arena,1997-08-09,23.0,17.8,29.4,nan,nan,299.0,6.3,nan,1019.0,nan
Ricoh Arena,1997-08-23,20.1,15.9,23.0,nan,nan,192.0,13.0,nan,1013.5,nan
Ricoh Arena,1997-08-27,15.2,11.4,19.5,nan,nan,159.0,12.5,nan,999.0,nan
Ricoh Arena,1997-09-24,12.6,6.0,18.0,nan,nan,nan,8.0,nan,1028.5,nan
Ricoh Arena,1997-10-04,15.3,11.5,19.9,nan,nan,258.0,11.4,nan,1020.3,nan
Ricoh Arena,1997-10-25,3.3,-2.7,11.4,nan,nan,nan,2.3,nan,1029.9,nan
Elland Road,1995-10-28,7.6,4.8,9.8,nan,nan,250.0,10.4,nan,nan,nan
Elland Road,1996-05-02,5.0,3.8,5.8,nan,nan,nan,26.1,nan,nan,nan
Elland Road,1996-09-07,12.5,9.8,14.8,nan,nan,nan,4.6,nan,nan,nan
Elland Road,1996-10-12,13.6,11.8,15.8,nan,nan,198.0,20.0,nan,nan,nan
Elland Road,1996-11-02,14.8,12.8,15.8,nan,nan,235.0,30.7,nan,nan,nan
Elland Road,1996-12-01,7.3,3.8,10.8,nan,nan,248.0,32.1,nan,nan,nan
Elland Road,1996-12-14,3.8,-1.2,7.8,nan,nan,251.0,29.3,nan,nan,nan
Elland Road,1997-03-01,8.5,4.8,11.8,nan,nan,218.0,35.0,nan,nan,nan
Elland Road,1997-03-08,7.1,3.8,9.8,nan,nan,65.0,14.3,nan,nan,nan
Elland Road,1997-03-12,9.3,6.8,11.8,nan,nan,237.0,20.3,nan,nan,nan
Elland Road,1997-08-09,20.1,16.8,22.8,nan,nan,280.0,14.9,nan,nan,nan
Elland Road,1997-09-20,12.0,8.8,15.8,nan,nan,106.0,13.2,nan,nan,nan
