,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
41,1995,7,1994-09-24,Coventry City,1,3,Southampton,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-09-24,13.5,12.0,16.3,,,40.0,22.5,,1017.2,
42,1995,9,1994-10-10,Coventry City,2,0,Ipswich Town,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-10-10,8.6,0.7,17.8,,,,4.4,,1022.1,
43,1995,12,1994-10-29,Coventry City,1,0,Manchester City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-10-29,8.8,6.2,12.1,,,167.0,9.2,,,
44,1995,13,1994-11-02,Coventry City,1,4,Crystal Palace,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-11-02,6.6,1.3,11.9,,,,11.3,,1014.5,
45,1995,15,1994-11-19,Coventry City,1,0,Norwich City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-11-19,14.4,13.1,15.8,,,220.0,20.8,,1011.3,
46,1995,17,1994-12-03,Coventry City,1,1,Liverpool,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-12-03,10.0,7.1,12.4,,,190.0,21.7,,1010.4,
47,1995,19,1994-12-17,Coventry City,0,0,Newcastle Utd,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-12-17,9.2,4.3,11.6,,,192.0,24.9,,1017.6,
48,1995,20,1994-12-26,Coventry City,0,0,Nott'ham Forest,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-12-26,6.1,2.4,10.5,,,216.0,21.5,,1003.3,
49,1995,22,1994-12-31,Coventry City,0,4,Tottenham,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-12-31,2.9,0.3,5.6,,,277.0,17.2,,994.4,
50,1995,25,1995-01-21,Coventry City,0,1,Arsenal,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-01-21,5.1,2.8,9.0,,,203.0,26.2,,,
